redshift bin , it is plausible that our results are moderately biased by the exclusion of the x - ray detected sources . in 4 , we therefore also give results which include the individually x - ray detected objects in the sample average for this lowest redshift bin . for additional comparison , we have considered the radio properties of the individually detected galaxies and the stacked galaxies using the catalogs of richards et al . ( 1998 ) and richards ( 2000 ) . the percentage of radio detections among the individually x - ray detected galaxies is
and richards ( 2000 ) . the percentage of radio detections among the individually x - ray detected galaxies is higher than that among the stacked galaxies ( @xmath57% vs. @xmath585% ) . this possible difference between the two populations is significant at the 93% level as determined using the fisher exact probability test for two independent samples ( see siegel & castellan 1988 ) . due to the x - ray luminosity difference and possible difference in radio properties , and to the fact that these galaxies constitute a small minority of those under study , we are confident
normal "" galaxies positively identified with x - ray sources within this sample , consituting a small minority of the galaxies under study here . the worst case is in the lowest redshift bin where 15% of the galaxies had x - ray detections . figure [ sbhistogram ] shows a histogram of @xmath55 values calculated for both the stacking samples and the individually x - ray detected galaxies . the individually x - ray detected galaxy set does possibly contain some lower - luminosity agn , including the agn candidate ( see papers ii and iv ) . with
x - ray emission from individual galaxies is not easily detected at @xmath22 , it is possible to estimate the emission at their extremely faint flux levels using statistical methods such as stacking , a technique implemented successfully on the cdf - n survey data in several previous studies . these include the detection of x - ray emission from the average @xmath21 bright ( @xmath23 ) galaxy in the hubble deep field - north ( ) described in brandt et al . ( 2001a , hereafter paper iv ) and a study of x - ray emission from @xmath244
- ray detected galaxies does not significantly affect our results for the interval @xmath77 ( the difference is @xmath78% ) . however , since the x - ray luminosities of the x - ray detected objects with @xmath74 are substantially higher ( by an order of magnitude ) than the x - ray stacking averages ( see figure 2 ) , it is not appropriate to include these objects in the calculation of the average x - ray luminosity . we thus find a smaller increase in the average x - ray luminosity of galaxies at @xmath79 than the increase

Question: What is the percentage of radio detections among the individually X-ray detected galaxies, using the catalogs of Richards et al. (1998) and Richards (2000)? The percentage of radio detections among the individually X-ray detected galaxies is 57%."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
limousin , m. , 2010 , arxiv : astro - ph/1001.1656 navarro , j.f . , frenk , c.s . , & white , s.d.m . , 1997 , apj , 490 , 493 nevalainen , j. , markevitch , m. , & forman , w. , 2000 , apj , 532 , 694 newbury , & fahlman , 1999 , arxiv : astro - ph/9905254 richard , j. , et al . , 2010 , mnras , 404 , 325 sand , d. j. , treu , t. , ellis , r. s. , & smith g. p. ,
, r. , cen , r. , ostriker , j. p. , bryan , g. l. , hernquist , l. , katz , n. , weinberg , d. h. , norman , m. l. & oshea , b. 2001 , [ @]jnlapj , 552 , 473 , r. & tripp , t. m. 2001 , [ @]jnlapj , 553 , 528 , j. p. , clowe , d. , schneider , p. , kerp , j. & romano - daz , e. 2004 , iau symposium , 34 , a. , tucker , d. l. , allam , s. &
flannery b.p . , 1992 , numerical recipes in c , 2nd edn , cambridge university press , p645 renzini a. , ciotti l. , 1993 , apj , 416 , l49 saglia r.p . , burstein d. , baggley g. , bertschinger e. , colless m.m . , davies r.l . , mcmahan r.k . , wegner g. , 1997 , mnras , 292 , 499 ( paper 3 ) saglia r.p . , colless m.m . , burstein d. , davies r.l . , mcmahan r.k . , watkins r. , wegner g. , 1998 , in renzini
, c. e. , & flint , k. p. 1999 , [ @]jnlapj , 524 , 536 , a. , frenk , c. s. , pearce , f. r. , thomas , p. a. , colberg , j. m. , white , s. d. m. , couchman , h. m. p. , peacock , j. a. , efstathiou , g. & nelson , a. h. 1998 , [ @]jnlapj , 499 , 20 , e. b. 1996 , [ @]jnlapj , 471 , 292 jenkins , e. b. , bowen , d. v. , tripp , t. m. , &
, davies r.l . , faber s.m . , terlevich r.j . , wegner g. , 1987 , apj , 313 , 42 ebeling h. , voges w. , bhringer h. , edge a.c . , huchra j.p . , briel u.g . , 1996 , mnras , 281 , 799 ellis r.s . , smail i. , dressler a. , couch w.c . , oemler a. , butcher h. , sharples r.m . , 1997 , apj , 483 , 582 feigelson e.d . , babu g.j . , 1992 , apj , 397 , 55 ferreras i. ,

Question: What is the citation for the 2001 paper by Einasto et al. in The Astronomical Journal? I don't know. The provided context does not mention a paper by Einasto et al. in The Astronomical Journal."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
paper will be a first step towards working out details of the string topology side of this program . the rest of this paper is split into two parts . the goal of the first part ( sections 26 ) is to define the chain complex @xmath9 . this is a chain model of the free loop space @xmath11 , carefully designed to define string topology operations on it . our construction of the chain complex @xmath9 is based on two ideas . the first idea is to introduce a notion of _ de rham chains _ , which is
completes the proof of lemma [ 150626_5 ] . the first goal of this section is to define the chain complex @xmath9 , which is our chain model of the free loop space @xmath11 . the second goal is to prove the results presented in section 1.5 assuming theorem [ 150624_8 ] , which is a purely algebraic result on dg operads . the proof of theorem [ 150624_8 ] occupies the rest of this paper ( sections 711 ) . after some algebraic preliminaries in section 6.1 , we define the chain complex @xmath9 in section 6.2 . in
a correct chain model of the free loop space ( see remark [ 150811_1 ] ) , and loses some geometric informations ( e.g. lengths of loops , see section 1.5.3 ) . our chain model @xmath9 is an intermediate one of these two . this section is organized as follows . in sections 1.11.4 , we recall several basic definitions and facts , fixing various notations an signs . in section 1.5 , we state theorem [ 150628_1 ] , which is our main result , and a few supplementary results . section 1.6 discusses previous works and 1.7
. after some algebraic preliminaries in section 6.1 , we define the chain complex @xmath9 in section 6.2 . in section 6.3 , we establish the relation between @xmath9 and the hochschild complex of @xmath7 . in section 6.4 , we state theorem [ 150624_8 ] , and prove most results presented in section 1.5 , except that the isomorphism @xmath221 preserves the bv structures . we prove this result in sections 6.56.8 . a double complex @xmath1150 consists of a sequence @xmath1151 of chain complexes and anti - chain maps @xmath1152 for each @xmath128 , such that @xmath536 for
differentiable spaces by @xmath828 and @xmath830 . the latter is adequate to define fiber products on de rham chain complexes , and we show that a sequence of de rham chain complexes @xmath831 has a natural structure of a cyclic dg operad with a multiplication and a unit ( see definitions [ 150723_1 ] , [ 150624_4 ] ) . this is a key geometric input in the definition of the chain complex @xmath9 , which we explain in section 6 . sections 5.35.5 are devoted to proofs of technical lemmas [ 150624_2 ] , [ 150624_3 ] , [

Question: Define chain complex @xmath9 in the context of the free loop space as presented in section 6.2 of the paper. In the context of the paper, the chain complex @xmath9 is defined in section 6.2. It serves as a chain model of the free loop space @xmath11. The construction of @xmath9 is based on two ideas: introducing a notion of de Rham chains and using certain algebraic results on dg operads. After some algebraic preliminaries in section 6.1, the chain complex @xmath9 is defined in section 6.2. However, the paper does not provide an explicit formula or definition for @xmath9 in the provided context."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
1.3 @xmath11 2.3 ( see below ) . even before the core of 1946 + 708 was identified based on 15 ghz observations , the first two epochs at 5 ghz suggested its location by exhibiting bi - directional motions away from the center of the source . given these motions and the symmetry of the source ( figs . 1 and 2 ) , it is reasonable to assert that n5 and s5 were ejected at the same time , and likewise n2 and s2 . indeed , we are fortunate enough to witness the ejection of n6 and
4 strongest jet components ( n2 , n5 , s5 and s2 ) derived from modelfitting elliptical gaussians to the visibility data at 8.4 ghz . the well - tracked jet components close to the core , n5 and s5 , appear to move out with the highest apparent velocity ( table 2 and fig . 5 ; and see also the moviegbtaylor/ ] ) , with n5 being the fastest at an apparent velocity of 1.088 c , and s5 being about one third that in very nearly the opposite direction . note that these are apparent velocities projected
to the core . the observed motion is @xmath70.01 mas / y , at the level that one has to be concerned about possible motions of the core component due to the ejection of the n6/s6 pair . since the modelfit results are referenced to the core component , any apparent proper motion of the core translates into the addition of a systematic apparent velocity to all components . an alternative approach is to compute a difference map between two images , well separated in time . apparent motions then show up as alternating positive and negative structures . 8
pairs n2/s2 and n5/s5 , we report here on the discovery of a new set of components which we name n6/s6 ( fig . 2 ) . like the previous sets , these new components appear to have been launched simultaneously as a pair , and appear to be moving away from the core in opposite directions . the angular separation between the new pair ( n6 and s6 ) observed in our 2008 epoch is 1.288 mas . the apparent proper motion between n6 and s6 and the core is difficult to determine owing to possible blending of these
along the jets . both the discrepant arm length ratios and the observed bending in projection of the overall jets on the plane of the sky provide interesting constraints . the time evolution of the flux densities of the n2/s2 and n5/s5 pair is shown in fig . the n2 component has shown a steady rise by @xmath020% over 13 years of monitoring at 8.4 ghz . during that same time s2 has only slightly decreased . meanwhile both n5 and s5 have been declining though that appears to have leveled off starting in 2006 . the amount of the

Question: Search for ""15 ghz observations of a source with bi-directional motions away from the center, and the ejection of subsequent components n6, n2, s2, n5, and s5"" The text mentions the 15 ghz observations of a source exhibiting bi-directional motions away from the center, which led to the identification of the core of the source in 1946 + 708. Subsequently, the first two epochs at 5 ghz suggested the ejection of components n2, s2, n5, and s5. The text also mentions the later discovery of a new set of components named n6/s6, which were ejected simultaneously and are moving away from the core in opposite directions."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
of initial condition , and we shall emphasize this further below in the context of the net transport or current . if the system has a fixed - point attractor then all of the data lie at one particular location @xmath28 . a periodic orbit with period @xmath29 ( that is , with period commensurate with the driving ) shows up with @xmath30 points occupying only @xmath31 different locations of @xmath32 for @xmath27 . all other orbits , including periodic orbits of incommensurate period result in a simply - connected or multiply - connected dense set of points . for
with period @xmath797 , we add the circular permutations of @xmath798 . the sets @xmath799 , @xmath800 and @xmath801 are coded by @xmath97 , @xmath427 and @xmath794 respectively . let @xmath802 , @xmath803 , @xmath804 and @xmath805 be the number of periodic orbits of period dividing @xmath27 in @xmath351 , @xmath799 , @xmath800 and @xmath801 respectively . if @xmath796 is not periodic , @xmath806 if @xmath807 is periodic with period @xmath779 , @xmath808 if @xmath807 is periodic with period odd @xmath809 , @xmath810 thus , @xmath756 is product of elementary zeta functions of @xmath799 , @xmath800 , @xmath801 and also
one . in fact , each real number has one and only one @xmath2-expansion . moreover , @xmath780 is invariant by the shift ( all infinite sub - words of a @xmath2-expansion is a @xmath2-expansion ) . let @xmath782 and @xmath783 . then , @xmath784 . so , if @xmath17 is a fixed point of @xmath785 , then @xmath45 is periodic with period dividing @xmath27 . the number of fixed points of @xmath786 equals the number of periodic orbits in @xmath787 with period dividing @xmath27 . note that in @xmath788 , the sequences which are not @xmath2-expansions end by @xmath789
is that the scaling properties of @xmath9 are reflected on scaling laws for the periods and values of @xmath35 at which the bifurcations occur ( see figure 3 and 8) . we only consider the orbits which for @xmath79 have the same period on projection to both axis @xmath114 and @xmath115 . these orbits are followed numerically when @xmath35 increases and are referred using the phase shift of their components at @xmath79 . for @xmath0 , the map @xmath9 has a period-@xmath94 orbit for each @xmath116 , whose components for @xmath117 up to 5 are shown in figure 5 .
synchronized fixed point . the previous phenomenology is not restricted to small periods but extend to any power of 2 . in particular , the synchronized period-@xmath94 orbit may destabilize to create a symmetric ( non - synchronized ) orbit of twice the period . given @xmath95 , let @xmath96 be the components of the period-@xmath94 orbit of @xmath9 . the points @xmath97 are the components of the synchronized period-@xmath94 orbit of @xmath39 . by the chain rule and since each jacobian at @xmath98 is diagonal , the corresponding multiplier along the anti - diagonal direction is @xmath99 the condition

Question: What is the relationship between the number of points occupied by a periodic orbit with period @xmath29 and the number of different locations it occupies in a system with fixed-point attractor, given @xmath30 points and @xmath31 distinct locations? The relationship is that a periodic orbit with period @xmath29 (commensurate with the driving) shows up with @xmath30 points occupying only @xmath31 different locations of @xmath32 for @xmath27. This means that the number of points occupied by the periodic orbit is equal to the total number of points in the system, and the number of distinct locations it occupies is less than or equal to the number of distinct locations in the system."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
event rate . shields et al . ( 2003 ) investigated the evolution of the relationship between @xmath9 and the velocity dispersion of the host bulge ( @xmath124 ) out to @xmath125 using a sample of radio - quiet agn . they found no evidence for variation from the locally determined relationship ( ferrarese & merritt 2000 ; gebhardt 2000 ) @xmath126 ferrarese ( 2002 ) found that the velocity dispersion of the local galactic bulges correlates with the circular velocity in the flat region of the halos rotation curve @xmath127 , indicating that @xmath128 . assuming that there is
velocity in the flat region of the halos rotation curve @xmath127 , indicating that @xmath128 . assuming that there is no evolution in the @xmath124@xmath129 relation , and relating @xmath129 to the virial velocity of a virialised halo of mass @xmath105 @xmath130^{1/6 } \\ & \times & \left ( \frac{1+z}{10 } \right)^{1/2}{\rm kms}^{-1},\end{aligned}\ ] ] [ where @xmath131 , @xmath132 and @xmath133 is the overdensity of a virialised halo at redshift @xmath63 ] we can determine the redshift dependent @xmath9@xmath10 relationship ( normalised to the local relationship from ferrarese 2002 ) @xmath135^{5/2}.\ ] ] the @xmath9@xmath10 relationship has been established
of dark - matter halos at @xmath139 by comparing the observed velocity distribution of local galaxies with a velocity function that is generated from the press - schechter mass - function , and which assumes a relationship between cooled baryonic and virial velocities ( see [ gal_vel ] ) . motivated by the absence of evolution in the observed correlation between @xmath9 and the velocity dispersion of the host bulge , we assume that the fraction of halos of mass ( @xmath105 ) and redshift ( @xmath63 ) that host a central smbh is determined by @xmath140 independently of redshift
in the velocity field of the gas but not the stars , and their relation to the spiral structure described above will be discussed elsewhere ( davies et al . in prep ) . the important result here is that at our spatial resolution , we find that the central stellar dispersion is @xmath176kms@xmath6 , less than the surrounding 150kms@xmath6 and also less than that in the seeing limited spectra of @xcite . in the same region we find that the rotation velocity of the gas starts to decrease rapidly , and its dispersion increases from @xmath177kms@xmath6 to @xmath178kms@xmath6 .
rotation curve is essentially flat at 0.10.5 , with @xmath204kms@xmath6 ( corrected for inclination ) . we also take @xmath205kms@xmath6 , which is the central value and hence least biassed by the high dispersion bulge stars . these lead to a mass of @xmath206m@xmath1 within @xmath207 ( 35pc ) , and a mean surface density of @xmath208m@xmath1pc@xmath2 . correcting for the non - stellar continuum , the h - band magnitude ( which the behaviour of @xmath60 indicates is dominated by the disk emission ) in the same region is 11.53mag . for @xmath26mag ( fig . [ fig :

Question: What is the correlation found between the velocity dispersion of local galactic bulges and the circular velocity in the flat region of the halo's rotation curve according to Ferrarese (2002)? The correlation found between the velocity dispersion of local galactic bulges and the circular velocity in the flat region of the halo's rotation curve, according to Ferrarese (2002), is that they correlate with each other, indicating that the velocity dispersion of the local galactic bulges is related to the circular velocity in the flat region of the halo's rotation curve."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
connector _ in a train track to be an embedded closed trainpath of length @xmath251 consisting of a large branch and a small branch . we call a train track @xmath58 to be in _ special standard form _ if it satisfies the following properties . 1 . every large branch of @xmath58 is contained in a twist connector . the union of all twist connectors in @xmath58 is the pants decomposition @xmath252 of our framing . @xmath58 carries a complete geodesic lamination @xmath19 whose minimal components are the pants curves of @xmath0 and such that every pair of pants
_ to a numbered combinatorial type @xmath248 if there is a numbered train track @xmath249 which can be connected to a numbered train track @xmath250 by a full numbered splitting and shifting sequence . recall from @xcite the definition of a train track in _ standard form _ for some _ framing _ ( or _ marking _ in the terminology of masur and minsky @xcite ) of our surface @xmath0 . each such train track is complete . twist connector _ in a train track to be an embedded closed trainpath of length @xmath251 consisting of a large branch
@xmath508 with the following property . let @xmath806 ; then there is some @xmath807 with @xmath808 and there is a train track @xmath809 in standard form for @xmath61 which can be connected to the train track @xmath810 by a splitting and shifting sequence . write @xmath811 and for each @xmath812 choose a tight splitting and shifting sequence connecting @xmath246 to a train track @xmath813 for some @xmath814 ; such a sequence exists by @xcite and section 4 ( see @xcite and the paragraph before lemma 4.6 for the definition of a tight sequence ) . for @xmath806 extend a splitting
@xmath253 be the set of numbered combinatorial types of all complete train tracks which can be obtained from @xmath58 by a full numbered splitting and shifting sequence . by construction , the set @xmath238 has property ( 2 ) in the lemma . let @xmath257 be any numbered train track which contains a twist connector @xmath79 consisting of a large branch @xmath77 and a small branch @xmath67 . then the train track @xmath258 obtained from @xmath257 by a split at @xmath77 with @xmath67 as a winner is contained in the numbered class which is obtained from @xmath257 by exchanging the
@xmath238 and if @xmath244 is any full numbered splitting and shifting sequence issuing from @xmath255 then @xmath246 is contained in @xmath238 for all @xmath256 . 3 . for every train track @xmath59 in special standard form for some framing of @xmath0 there is a numbering of the branches of @xmath59 such that the resulting numbered train track is contained in @xmath238 . let @xmath231 be any numbered train track in special standard form for some framing of @xmath0 and let @xmath253 be the set of numbered combinatorial types of all complete train tracks which can be obtained from @xmath58 by

Question: What is the search query for ""What is the definition of a train track in special standard form with respect to its properties, including the presence of twist connectors and pants decomposition?"" ""Definition of train track in special standard form, properties including twist connectors, pants decomposition, and complete geodesic lamination"""
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
functions on @xmath21 and @xmath132 for every @xmath133 the * covering number of @xmath131 * with respect to the empirical metric @xmath134 , given by @xmath135 is defined as @xmath136 and the * @xmath130-empirical covering number * of @xmath137 is defined as @xmath138 [ assumption2 ] we assume @xmath139 and that for some @xmath140 , @xmath141 and every @xmath142 , the @xmath130-empirical covering number of the unit ball of @xmath43 satisfies @xmath143 the second novelty of this paper is to observe that the additive nature of the hypothesis space yields the following nice bound with a dimension - independent power
functions @xmath126 , we get a good approximation of the target function @xmath121 , and thereby a good estimate of the approximation error . this is the first novelty of the paper . [ approxerrorthm ] under assumption [ assumption1 ] , we have @xmath127 where @xmath128 is the constant given by @xmath129 the second condition for our learning rates is about the capacity of the hypothesis space measured by @xmath130-empirical covering numbers . let @xmath131 be a set of functions on @xmath21 and @xmath132 for every @xmath133 the * covering number of @xmath131 * with respect to the empirical
independent of the number @xmath148 of the components in the additive model . it is well - known @xcite in the literature of function spaces that the covering numbers of balls of the sobolev space @xmath149 on the cube @xmath150^s$ ] of the euclidean space @xmath151 with regularity index @xmath152 has the following asymptotic behavior with @xmath153 : @xmath154 here the power @xmath155 depends linearly on the dimension @xmath148 . similar dimension - dependent bounds for the covering numbers of the rkhss associated with gaussian rbf - kernels can be found in @xcite . the special bound in theorem [
we consider consists of the _ input space decomposition _ @xmath26 with each @xmath27 a complete separable metric space and a _ hypothesis space _ @xmath28 where @xmath29 is a set of functions @xmath30 each of which is also identified as a map @xmath31 from @xmath3 to @xmath5 . hence the functions from @xmath32 take the additive form @xmath33 . we mention , that there is strictly speaking a notational problem here , because in the previous formula each quantity @xmath34 is an element of the set @xmath35 which is a subset of the full input space @xmath36 , @xmath37
with a complete separable metric space @xmath3 as the input space and a closed subset @xmath4 of @xmath5 as the output space . a borel probability measure @xmath6 on @xmath7 is used to model the learning problem and an independent and identically distributed sample @xmath8 is drawn according to @xmath6 for learning . a loss function @xmath9 is used to measure the quality of a prediction function @xmath10 by the local error @xmath11 . _ throughout the paper we assume that @xmath12 is measurable , @xmath13 , convex with respect to the third variable , and uniformly lipschitz continuous satisfying

Question: What is the definition of the empirical covering number of a function space with respect to a given empirical metric? The empirical covering number of a function space with respect to a given empirical metric is defined as follows:

Given a function space @xmath131 on @xmath21 and @xmath132, for every @xmath133, the empirical covering number of @xmath131 with respect to the empirical metric @xmath134 is defined as the minimum number @xmath140 of functions in @xmath131 such that every function in @xmath131 can be approximated within a certain tolerance @xmath14"
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
- 2 . thus , this new group contains stars that were born at somewhat different times and locations . for later times , we continue to track the evolution of this and other , new groups appearing in a 10-pc box around group 1 - 2 , and by @xmath73 myr , we now find a system of groups with different ages , masses , and sizes ( _ bottom right panel _ of fig . [ fig : cluster_evol ] ) . these groups lie approximately in a straight line , because they formed in the filament feeding
fig . [ fig : cluster_evol ] shows that they are assembled into a cluster in such a way that at @xmath69 myr we identify two subgroups ( hereafter , groups 1 and 2 ; see the _ top left panel _ of fig . [ fig : cluster_evol ] ) of what will later become a larger , merged group ( group 1 - 2 ) . we use square symbols to identify stars that belong to group 1 , and filled circles for stars belonging to group 2 . furthermore , we color them according to their age
these early stages , we can see that _ the more massive and younger stars tend to be near the centers of the groups_. from fig . [ fig : cluster_evol ] it is clearly seen that , at these early stages , the groups are undergoing expansion , and that star formation continues within them . by @xmath71 myr , both groups have similar sizes , masses , and number of stars , and they have undergone a large enough expansion that their merger appears inevitable . the formerly `` most distant '' star of group 2 is now
myr , the two clumps and their embedded groups are still separate , and a histogram for each group is shown . at @xmath86 myr , the two clumps and their embedded groups have already merged , and thus a single histogram is shown . it is seen that , at this time , the most numerous stars are those less than 1 myr old . neverthless , there are also a few stars up to nearly 4 myr old . this indicates an acceleration of sf during the first @xmath87 myr of evolution of cluster 2 . at later
in the following sections we discuss various implications of this mechanism . the resulting evolution of cluster 2 is illustrated in fig.[fig : cluster_evol ] , which shows the projected positions of the stellar particles on the @xmath68 plane at times @xmath69 , 21.44 , 22.40 , and 25.34 myr in the _ top left , top right , bottom left , and bottom right panels _ . in this cluster , stars begin to form at @xmath70 myr and fig . [ fig : cluster_evol ] shows that they are assembled into a cluster in such a way that

Question: What is the location of the system of groups with different ages, masses, and sizes by myr 2x10^6 in the figure ""cluster_evol""? By myr 2x10^6 in the figure ""cluster_evol"", the system of groups with different ages, masses, and sizes is approximately in a straight line, as seen in the _ bottom right panel _ of the figure."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
@xmath159 hence @xmath160 [ pert ] let @xmath161 for @xmath145 as in . if @xmath162 , then @xmath43 is invertible . moreover @xmath163 since @xmath145 is invertible , write @xmath164 . if additionally @xmath165 , then @xmath166 [ diri ] it is possible to characterise the change of coordinates @xmath43 in terms of dirichlet series , and recover some of the results here and below directly from this characterisation . see for example the insightful paper @xcite and the complete list of references provided in the addendum @xcite . however , the full technology of dirichlet series is not needed
? * formula ( 3.8 ) ) . the key point in these formulas is the possibility of evaluating the inverse laplace transforms of the powers of the inverse tangent functions in the complex right half - plane . this is the basic idea of deriving the series representations of the conditional characteristic functions corresponding to two and three changes of direction given in section 3 . based on these representations , an asymptotic formula , as time @xmath5 , for the unconditional characteristic function is obtained in section 4 and the error in this formula has the order @xmath6
list of references provided in the addendum @xcite . however , the full technology of dirichlet series is not needed in the present context . a further development in this direction will be reported elsewhere . a proof of can be achieved by applying corollary [ pert ] assuming that @xmath167 our next goal is to formulate concrete sufficient condition for the invertibility of @xmath43 and corresponding bounds on @xmath54 , which improve upon whenever @xmath57 . for this purpose we apply corollary [ pert ] assuming that @xmath145 has now the three - term expansion @xmath168 let @xmath169 let
. we now examine other further consequences of the corollaries [ main_1 ] and [ main_2 ] . [ impro_implicit ] any of the following conditions ensure the invertibility of the change of coordinates map @xmath288 . 1 . [ aimplicit ] ( @xmath20 ) : @xmath289 2 . [ bimplicit ] ( @xmath57 ) : @xmath290 , @xmath245 , @xmath291 and @xmath292 3 . [ cimplicit ] ( @xmath57 ) : @xmath290 , @xmath245 , @xmath293 and @xmath294 from , it follows that @xmath295 hence the condition [ aimplicit ] implies that the hypothesis is satisfied . by virtue
not globally `` near '' @xmath18 , e.g. in the krein - lyusternik or the paley - wiener sense , @xcite . therefore classical arguments , such as those involving the paley - wiener stability theorem , are unlikely to be directly applicable in the present context . in fact , more rudimentary methods can be invoked in order to examine the invertibility of the change of coordinates map . from it follows that @xmath35 in @xcite it was claimed that the left side of held true for all @xmath36 where @xmath37 was determined to lie in the segment @xmath38

Question: Find papers on the characterisation of change of coordinates in terms of Dirichlet series. The paper to find on the characterisation of change of coordinates in terms of Dirichlet series is @xcite."
"Answer ONLY using the provided context. If not in context, say 'I don't know.'

Context:
